OrganisationId,OrganisationName,logo_url,authorization_server_url
1,fefac57d-1d50-5615-89b2-0b2d80623a28,CCR DE OURO,,
2,fd0ea3e7-aeca-55f9-a0a2-ec56980059fb,BCO WOORI BANK DO BRASIL S.A.,,
3,f8b33980-600e-53a7-86dd-3c21a6b08dc3,BCO DA CHINA BRASIL S.A.,,
4,f8993e33-8f0c-5530-9207-2d9cf8454ee3,BCO FIBRA S.A.,,
5,f83bee4f-26df-53d7-8335-a8a6edd7e340,AYMORE CFI S.A.,,
6,f7817b3c-c319-575f-8896-727c1b12cfda,CENTRAL AILOS,,
7,f475af96-81d1-5a95-a656-f8a824bb84e3,MONEY PLUS SCMEPP LTDA,,
8,f444d7d4-95a8-4910-8641-532832a5552d,S3 CACEIS BRASIL DTVM S.A.,,
9,f37149e6-e033-5f11-af23-c5c161794a93,BCO KEB HANA DO BRASIL S.A.,,
10,f1f45e74-57da-43d0-b246-fbb29e348661,IUGU INSTITUICAO DE PAGAMENTO S.A.,,
11,f0f1cc87-02af-4227-9d3d-8b82cd6512cf,BANCO RNX S/A,,
12,effb6cae-e6d6-5f0b-8f31-ee7922850300,BRB - BCO DE BRASILIA S.A.,,
13,ea5f58d1-b363-58ef-9d09-46ae53398b5d,CARTOS SCD S.A.,,
14,e5f4ae4a-9732-5a9d-86f6-31509e7dd46a,BANCO HYUNDAI CAPITAL BRASIL,,
15,e5b51083-adc2-5775-b0fc-02b263b1c40d,UP.P SEP S.A.,,
16,e5a1c7ad-11d4-560d-914c-611003a39219,MERCADO PAGO INSTITUICAO DE PAGAMENTO LTDA,,
17,e5409522-b81f-5f3d-bba5-d6fb7f81df6c,AL5 S.A. CFI,,
18,e22a73ad-dcdd-5e58-b096-3fc785c81d5e,BCO OURINVEST S.A.,,
19,e1d52399-a2a1-53be-a84b-085c1a94aac5,ACESSO SOLUCOES PAGAMENTO SA,,
20,e0d17755-eb2b-539d-b90c-a765cdeefc2b,BCO ALFA S.A.,,
21,df49c2b5-0de6-5a66-a05a-233f1d3cce65,BCO CITIBANK S.A.,,
22,dda6cad3-4f6e-53dc-8480-387f43dc768d,BCO CCB BRASIL S.A.,,
23,dd0a010b-984e-531b-99e6-c2b4ac4b9ce9,CRED-UFES,,
24,dac315e0-71bd-52e4-8294-cea70640ffc9,BCO CREFISA S.A.,,
25,d96d6def-7f8f-5623-b15a-0bb5910920d1,CIELO S.A.,,
26,d8ffa2e6-eb03-51fc-b594-6c45275c8391,BANCO BARI S.A.,,
27,d6d2f28d-b019-506c-a438-b11fb1172812,BCO INDUSTRIAL DO BRASIL S.A.,,
28,d4a3c47e-2983-4b37-9996-1e8ab203c1cb,"Portoseg S/A Credito, Financiamento e Investimento",,
29,d3f8a4f7-7b6e-5b82-bdbe-bd90414650f0,BANCO ORIGINAL,,
30,d30e4410-bd56-510d-8b75-7d8e85f1b138,UNIPRIME CENTRO-OESTE DO BRASIL CC,,
31,d0405b3d-3708-5297-ba26-626e2a15da93,CECMSP PODER EXEC FED E.SANTO,,
32,cfe03330-6416-5639-a377-5244e0bf8b31,VIA CERTA FINANCIADORA S.A. - CFI,,
33,cee01906-9630-41af-b186-155ef49ba13b,Fidúcia SCM,,
34,ccdce1b1-79f4-5c42-8ba9-13cb23a18b71,BCO LOSANGO S.A.,,
35,c7ef81e9-f8e9-54bb-a845-7439ac3f0b7f,CCR SEARA,,
36,c7b11d9f-05a9-5cca-bfc7-2f103fdfbf99,BANCO TOPAZIO,,
37,c79aa350-5325-5e8c-bf9d-437a58748090,OTIMO SCD S.A.,,
38,c5845a52-3db6-540b-b0c1-a8c60bf59637,REDECARD S.A.,,
39,c55ceb2e-c9fb-4989-8ed1-39208d6d7951,CELCOIN INSTITUICAO DE PAGAMENTO S.A.,,
40,c160a6f5-e5df-5067-9e97-ec6fba62fd87,CAIXA ECONOMICA FEDERAL,,
41,c0f47d95-78e7-5f20-b0ea-ff8a75a44a76,PICPAY,,
42,c0a5427f-2e13-5723-a80e-308e7c31e112,CREDISIS CENTRAL DE COOPERATIVAS DE CRÉDITO LTDA.,,
43,bbfdd54c-2a82-5843-b4f0-20e7733ebf0c,SUPER PAGAMENTOS E ADMINISTRACAO DE MEIOS ELETRONICOS S.A.,,
44,bb3b0993-554d-5ea4-91ee-13af4ffe988d,BCO SOFISA S.A.,,
45,b961c4eb-509d-4edf-afeb-35642b38185d,Open Banking Brasil - Raidiam,,
46,b8d20b1b-e8a7-5099-8174-05ea48bcb566,BCO SANTANDER (BRASIL) S.A.,,
47,b6e68e03-c85d-54e8-8649-6e9bf9bb5dd8,BCO AGIBANK S.A.,,
48,b6b68aba-7b89-5981-8679-28a4244df514,BCO ITAUCARD S.A.,,
49,b6a214c7-6332-5a41-8464-a281fb9a4ca0,BANCO PAN,,
50,b43131be-6a7f-5bfb-b436-c3ac5c5c2dac,GERENCIANET,,
51,b2cf16dd-b545-5676-a8eb-76980bd72315,BANCO BRADESCARD,,
52,b23de9c7-5c58-5ca2-867c-74cc65a2b435,BANCO VOITER SA,,
53,b20c07c6-ec63-5add-bdef-e1023017f166,BPP IP S.A.,,
54,b185ecfd-53b1-51ac-86bf-51d6cd66d828,UNIPRIME NORTE DO PARANA - CC,,
55,b02ed954-c23f-5d69-a957-f44d4f73e1b1,CCR DE ABELARDO LUZ,,
56,b024cf43-9ce6-52c4-8820-9b5d0bccb74c,BCO C6 S.A.,,
57,af6ca85f-e197-5bfa-9202-35a1be4dee60,BCO DAYCOVAL S.A,,
58,abad7f92-1528-5bbf-93fe-1e630e4cb913,BANCO SEMEAR,,
59,aaa29038-e09c-5210-afe4-132750a6157c,PEFISA S.A. - CFI,,
60,a773281f-9897-5e23-b422-ec72735f4f12,ITAU CV S.A.,,
61,a72a6d4f-79be-5362-afb6-f8d9c9c39cf5,BANCO BRADESCO SA,,
62,a60b7fb5-f7f3-5536-a41f-1bff137f47d1,BCO DO NORDESTE DO BRASIL S.A.,,
63,a3cec8d6-65b1-529d-bac5-9892d0c4efa3,STONE PAGAMENTOS S.A.,,
64,a3280c20-efe2-5634-907f-6ef2a42d2a7d,BCO ITAUBANK S.A.,,
65,a1868c74-2df8-471e-ac93-ea12ae39eaa5,BANCO RANDON SA,,
66,9ff5e023-dcfe-595b-8be9-4a1b9c1597d6,BCO DA AMAZONIA S.A.,,
67,9f1959f0-5fa8-54c7-a978-329994ffe3bd,SANTANDER CCVM S.A.,,
68,9d056db2-97a6-5d55-8728-34923d018a8a,SENFF S.A. - CFI,,
69,9cbed331-1e64-5d5a-84aa-fc64758993ab,PARANA BCO S.A.,,
70,9c721898-9ce0-50f1-bf85-05075557850b,ITAÚ UNIBANCO S.A.,,
71,99aff3b0-5617-5fad-bc6e-66e320a217fc,BCO PAULISTA S.A.,,
72,98688161-67b2-55de-b057-03b749d33f5f,BCO PSA FINANCE BRASIL S.A.,,
73,97b71d05-05bc-5f97-9097-1ae718b8b683,CARUANA SCFI,,
74,97a95ddb-a6ca-58ff-9551-c371ad20371a,INTRAG DTVM LTDA,,
75,96ac0818-f830-56c4-8d31-1e716c4f0138,CECMS E.A.DIR. E.ES-COOPFISCO,,
